old_index,beds,longitude,latitude,mean_neighbor_price
14485,2,-122.436066,37.754387,1555666.667
14486,4,-122.436066,37.76045,2468333.333
14487,4,-122.43606,37.769035,2518333.333
14488,2,-122.43605,37.710743,699666.6667
14490,2,-122.43605,37.71277,553000
14491,3,-122.43605,37.74856,1175333.333
14492,3,-122.43605,37.748657,1175333.333
14494,4,-122.43604,37.717346,660976.3333
14495,2,-122.43604,37.72165,611666.6667
14496,2,-122.43604,37.744736,1190000
14497,2,-122.43604,37.744736,1190000
14498,3,-122.43604,37.748425,1175333.333
14499,2,-122.43604,37.748604,1447666.667
14500,3,-122.43604,37.753563,1312400
14501,2,-122.436035,37.71076,699666.6667
14502,3,-122.43602,37.72899,1093423
14504,2,-122.43601,37.748096,1439333.333
14505,5,-122.43601,37.748096,4810666.667
14506,4,-122.43601,37.756012,2848333.333
14509,3,-122.436005,37.80371,2278333.333
14510,4,-122.43599,37.76904,2518333.333
14511,3,-122.43598,37.732376,1028333.333
14512,3,-122.43598,37.747807,1535000
14513,4,-122.43598,37.747807,3750000
14515,2,-122.43595,37.712494,626333.3333
14516,3,-122.43595,37.728436,1305089.667
14518,3,-122.43594,37.7289,1093423
14520,2,-122.43594,37.747578,1649333.333
14521,3,-122.435936,37.710766,592666.6667
14522,2,-122.435936,37.72431,521333.3333
14523,2,-122.43593,37.732388,1007666.667
14524,3,-122.43593,37.75761,1551666.667
14525,4,-122.43592,37.789604,2886666.667
14526,4,-122.43592,37.789604,2886666.667
14527,3,-122.43591,37.73763,2206666.667
14528,3,-122.43591,37.73763,2206666.667
14530,5,-122.43591,37.803722,3309666.667
14531,2,-122.435905,37.714573,631666.6667
14532,2,-122.435905,37.7299,602000
14533,2,-122.435905,37.76342,1318333.333
14534,2,-122.4359,37.71321,621666.6667
14535,4,-122.4359,37.75279,3433333.333
14537,5,-122.4359,37.794136,7356666.667
14538,4,-122.43589,37.725082,846666.6667
14539,3,-122.43589,37.74702,1576666.667
14540,3,-122.43589,37.74702,1576666.667
14541,3,-122.43589,37.74702,1576666.667
14542,2,-122.43588,37.765697,1115666.667
14543,3,-122.435875,37.787674,2868333.333
14544,5,-122.43587,37.758327,3686833.333
14545,1,-122.43586,37.72587,583666.6667
14546,2,-122.43586,37.756023,1475000
14548,3,-122.43586,37.78961,1695833.333
14550,2,-122.435844,37.757942,1276000
14553,3,-122.43584,37.729843,813333.3333
14554,3,-122.43584,37.729843,813333.3333
14555,2,-122.43584,37.746223,852000
14556,3,-122.43584,37.746223,1981333.333
14557,3,-122.43584,37.746223,1981333.333
14558,2,-122.43584,37.757862,1451000
14559,4,-122.43584,37.757862,3941666.667
14560,2,-122.43583,37.714714,631666.6667
14561,3,-122.43583,37.71907,802000
14562,4,-122.43583,37.73666,1773333.333
14563,4,-122.43582,37.746098,2798333.333
14564,4,-122.43582,37.746098,2798333.333
14565,2,-122.43582,37.74624,852000
14566,3,-122.43582,37.74624,1981333.333
14567,3,-122.43582,37.80566,2858333.333
14568,2,-122.435814,37.709133,513766.6667
14569,2,-122.435814,37.71217,736333.3333
14570,3,-122.435814,37.721977,633333.3333
