old_index,sf,longitude,latitude,mean_hood_ppsf
599,1162,-122.50466,37.742496,965.8394161
600,1055,-122.50466,37.757626,963.6913767
601,1135,-122.504654,37.757755,863.6237128
602,1540,-122.504654,37.773067,884.4639381
603,1228,-122.504654,37.773197,916.838843
604,1180,-122.504654,37.773262,916.838843
605,1075,-122.50465,37.757595,965.8622719
606,1370,-122.50464,37.75753,1027.317073
607,1040,-122.50463,37.738045,937.4077355
608,1125,-122.50463,37.757145,909.1683225
609,1000,-122.50462,37.75702,970.1257862
610,1230,-122.50462,37.77259,916.838843
611,3734,-122.50462,37.77281,761.4592275
612,1000,-122.504616,37.756954,970.1257862
613,1185,-122.504616,37.772526,916.838843
614,950,-122.5046,37.753006,947.7884935
616,1299,-122.504585,37.74114,929.7520661
617,1385,-122.504585,37.772076,867.6789588
618,1542,-122.504585,37.77227,883.712961
619,2020,-122.50457,37.77195,753.831569
620,1514,-122.50456,37.741077,898.2035928
621,1998,-122.504555,37.740883,736.7701464
622,950,-122.504555,37.756306,1018.151815
623,1300,-122.50455,37.74082,929.7520661
624,1113,-122.50454,37.740566,945.0457952
625,1192,-122.50453,37.736176,738.6062533
626,1300,-122.50453,37.74063,973.6842105
627,1425,-122.5045,37.75535,835.3321033
628,1218,-122.5045,37.75554,878.746594
629,875,-122.50449,37.74012,1134.333333
630,1427,-122.50449,37.74012,899.4042163
631,800,-122.50446,37.73947,1188.323917
632,720,-122.50445,37.764202,1164.127122
633,1427,-122.50445,37.764202,870.8496732
634,1055,-122.50444,37.739346,949.6533012
635,1432,-122.50443,37.73922,795.3216374
636,3645,-122.504425,37.779133,965.4395842
637,1735,-122.50442,37.75438,746.875
638,1300,-122.5044,37.749275,857.1060762
639,1833,-122.5044,37.753864,789.9558711
640,1770,-122.5044,37.75393,789.9558711
641,1427,-122.50438,37.738453,908.841296
642,1055,-122.50438,37.738453,937.4077355
643,1055,-122.50438,37.738453,937.4077355
644,1204,-122.50438,37.75374,913.6282128
645,1024,-122.50437,37.753513,974.8630358
646,825,-122.504364,37.738262,1188.323917
647,2613,-122.50435,37.753323,578.3404139
648,1450,-122.50431,37.737423,832.1759259
649,1348,-122.50431,37.752575,879.0009699
651,1397,-122.5043,37.749268,862.2840691
652,870,-122.50429,37.747406,1164.941569
653,1214,-122.50429,37.74928,936.270435
654,980,-122.504265,37.745537,1164.827586
655,1055,-122.50426,37.75187,935.1023018
656,1400,-122.50425,37.736397,784.7648262
657,1055,-122.50424,37.751614,935.1023018
658,1770,-122.50424,37.75181,618.9906244
659,1055,-122.50423,37.751358,976.7513949
661,1427,-122.50417,37.750645,890.9939594
662,5070,-122.50416,37.75039,874.7528016
663,1075,-122.50416,37.7754,1013.293944
664,1330,-122.50415,37.777283,1006.671432
665,1162,-122.50414,37.75039,888.9189189
666,1640,-122.50414,37.75039,797.9354272
667,1625,-122.50414,37.780792,869.3856394
668,1162,-122.504135,37.750134,905.3978854
669,1162,-122.504135,37.750134,905.3978854
670,1225,-122.504135,37.78084,1046.006944
671,1638,-122.50411,37.749752,830.4418228
672,1180,-122.504105,37.780476,1046.006944
673,1945,-122.5041,37.749752,706.5432321
674,1562,-122.50408,37.749496,787.2772389
675,1162,-122.50408,37.74956,936.270435
676,1531,-122.50405,37.748844,787.2772389
677,1125,-122.50401,37.763794,878.7264834
678,1800,-122.50401,37.763794,740.3032093
679,950,-122.504005,37.74367,1097.927807
680,1710,-122.504005,37.748398,741.7699872
681,1214,-122.504,37.748142,863.4548842
682,2018,-122.504,37.748142,662.332418
683,1427,-122.504,37.763668,870.8496732
684,1214,-122.50399,37.748203,863.4548842
685,1000,-122.50399,37.763287,903.4795764
687,1427,-122.503975,37.74782,741.2803532
688,1214,-122.503975,37.74782,863.4548842
689,1214,-122.503975,37.747948,863.4548842
691,2056,-122.50397,37.7786,825.6324799
692,1548,-122.50396,37.77828,901.5716377
